english,russian,difficulty_level, part_of_speech
apple,яблоко,1, Существительное
book,книга,1, Существительное
computer,компьютер,2, Существительное
adult, взрослый, 2, Существительное
age, возраст, 1, Существительное
baby, малыш, 1, Существительное
child, ребенок, 1, Существительное
boy, мальчик, 1, Существительное
childhood, детство, 1, Существительное
girl, девочка, 1, Существительное
human, человек, 1, Существительное
kid, ребенок, 1, Существительное
life, жизнь, 1, Существительное
maiden name, девичья фамилия, 3, Существительное
man, мужчина, 1, Существительное
name, имя, 1, Существительное
people, люди, 1, Существительное
person, человек, 1, Существительное
personality, личность, 3, Существительное
surname, фамилия, 2, Существительное 
teenager, подросток, 1, Существительное
woman, женщина, 1, Существительное
youth, молодежь, 1, Существительное
arm, рука, 1, Существительное
back, спина, 1, Существительное
belly, живот, 2, Существительное
blood, кровь, 2, Существительное
body, тело, 1, Существительное
bone, кость, 1, Существительное
brain, мозг, 1, Существительное
cheek, щека, 1, Существительное
chest, грудь, 1, Существительное
chin, подбородок, 1, Существительное
ear, ухо, 1, Существительное
elbow, локоть, 3, Существительное
eye, глаз, 2, Существительное
eyebrow, бровь, 4, Существительное
eyelash, ресница, 4, Существительное
face, лицо, 1, Существительное
finger, палец, 1, Существительное
fist, кулак, 4, Существительное
foot, ступня, 4, Существительное
forehead, лоб, 4, Существительное
hair, волосы, 1, Существительное
hand, кисть руки, 2, Существительное
heart, сердце, 2, Существительное
heel, пятка, 3, Существительное
hip, бедро, 2, Существительное
jaw, челюсть, 2, Существительное

